date,player1,result1,player2,result2,title,note
2006-05-06,北島忠雄,,佐藤秀司,,銀河戦 F8回戦,詳細情報
2006-05-07,井上慶太,,勝又清和,,NHK杯戦 1回戦,詳細情報
2006-05-08,羽生善治,●,鈴木大介,○,棋聖戦 挑決,
2006-05-08,田村康介,○,中村太地,●,棋聖戦 一次予選,
2006-05-08,千葉幸生,●,村山慈明,○,竜王戦6組 準決勝,
2006-05-08,広瀬章人,○,野田敬三,●,竜王戦6組 昇決2回戦,
2006-05-08,古河彩子,●,中村真梨花,○,女流名人位 B級2回戦,
2006-05-09,中川大輔,●,中田宏樹,○,竜王戦2組 昇決2回戦,
2006-05-09,櫛田陽一,○,松浦隆一,●,竜王戦6組 昇決2回戦,
2006-05-09,渡辺明,○,野月浩貴,●,王座戦 本戦1回戦,
2006-05-09,先崎学,○,小林裕士,●,王位戦 白組4回戦,
2006-05-09,宮田利男,○,横山泰明,●,棋聖戦 一次予選,
2006-05-09,所司和晴,○,矢内理絵子,●,棋聖戦 一次予選,
2006-05-09,川上猛,○,関浩,●,棋聖戦 一次予選,
2006-05-09,高崎一生,○,佐藤紳哉,●,棋聖戦 一次予選,
2006-05-09,金沢孝史,●,阿久津主税,○,棋聖戦 一次予選,
2006-05-09,熊坂学,●,村中秀史,○,棋聖戦 一次予選,
2006-05-09,飯島栄治,●,中村亮介,○,新人王戦 3回戦,
2006-05-09,坂東香菜子,●,中倉宏美,○,倉敷藤花戦 2回戦,
2006-05-09,長沢千和子,○,早水千紗,●,女流名人位 B級1回戦,
2006-05-10,加藤一二三,●,近藤正和,○,竜王戦4組 昇決2回戦,
2006-05-10,瀬川晶司,○,安西勝一,●,竜王戦6組 昇決2回戦,
2006-05-10,石田和雄,●,遠山雄亮,○,棋聖戦 一次予選,
2006-05-10,滝誠一郎,●,松本佳介,○,棋聖戦 一次予選,
2006-05-10,堀口弘治,●,清水市代,○,棋聖戦 一次予選,
2006-05-10,伊藤博文,●,阪口悟,○,棋聖戦 一次予選,
2006-05-10,橋本崇載,●,糸谷哲郎,○,棋聖戦 一次予選,
2006-05-10,深浦康市,○,井上慶太,●,王座戦 本戦1回戦,
2006-05-10,木村一基,●,飯塚祐紀,○,王将戦 一次予選,
2006-05-10,石橋幸緒,○,甲斐智美,●,女流名人位 Ａ級3回戦,
2006-05-10,竹部さゆり,○,長沢千和子,●,女流名人位 B級2回戦,
2006-05-10,高群佐知子,●,千葉涼子,○,女流王位戦 白組2回戦,
2006-05-10,伊藤明日香,●,中井広恵,○,倉敷藤花戦 2回戦,
2006-05-11,小林裕士,,中村修,,銀河戦 G8回戦,詳細情報
2006-05-11,谷川浩司,○,森内俊之,●,名人戦 第3局,
2006-05-12,佐藤秀司,○,北浜健介,●,竜王戦4組 昇決3回戦,
2006-05-12,上野裕和,●,依田有司,○,竜王戦6組 昇決2回戦,
2006-05-12,沼春雄,●,武市三郎,○,棋聖戦 一次予選,
